experiment,track.order,track.spp,track.type,track.length,breeding.season,native.plant,jawe,rble,rvbu,rwbu
39,4,control,con,15,0,1,0,0,0,0
39,5,rvbu,treat,15,0,1,1,1,1,0
39,6,jawe,treat,15,0,1,1,0,0,0
39,7,rwbu,treat,15,0,1,0,0,0,0
39,8,jawe.rble,treat,15,0,1,0,0,0,0
40,1,control,con,15,0,0,1,0,0,0
40,2,control,con,15,0,0,0,0,0,0
40,3,control,con,15,0,0,0,0,0,0
40,4,control,con,15,0,0,0,0,0,0
40,5,jawe.rble,treat,15,0,0,1,0,0,0
40,6,rvbu,treat,15,0,0,1,0,0,0
40,7,rwbu,treat,15,0,0,0,0,0,0
40,8,jawe.rble,treat,15,0,0,1,1,0,0
41,1,control,con,15,0,1,0,0,0,0
41,2,control,con,15,0,1,0,0,0,0
41,3,control,con,15,0,1,0,0,0,0
41,4,control,con,15,0,1,0,0,0,0
41,5,rvbu,treat,15,0,1,0,1,0,0
41,6,rwbu,treat,15,0,1,0,0,0,0
41,7,jawe.rble,treat,15,0,1,1,0,0,1
41,8,rwbu,treat,15,0,1,0,0,0,0
42,1,control,con,15,0,1,0,0,0,0
42,2,control,con,15,0,1,0,0,0,0
42,3,control,con,15,0,1,0,0,0,0
42,4,control,con,15,0,1,0,0,0,0
42,5,rwbu,treat,15,0,1,0,0,0,0
42,6,rvbu,treat,15,0,1,1,0,1,0
42,7,jawe,treat,15,0,1,1,0,0,0
42,8,jawe.rble,treat,15,0,1,1,0,1,0
43,1,control,con,15,0,1,0,0,0,0
43,2,control,con,15,0,1,0,0,0,0
43,3,control,con,15,0,1,0,0,0,0
43,4,control,con,15,0,1,0,0,0,0
43,5,rwbu,treat,15,0,1,1,0,0,1
43,6,jawe,treat,15,0,1,1,0,0,0
43,7,rvbu,treat,15,0,1,0,0,0,0
43,8,rble,treat,15,0,1,0,0,0,0
44,1,control,con,15,0,1,0,0,0,0
44,2,control,con,15,0,1,0,1,0,0
44,3,control,con,15,0,1,1,0,0,0
44,4,control,con,15,0,1,0,0,0,0
44,5,jawe,treat,15,0,1,1,0,0,0
44,6,rble,treat,15,0,1,1,1,0,0
44,7,rvbu,treat,15,0,1,1,0,0,0
44,8,rwbu,treat,15,0,1,0,0,0,1
45,1,control,con,15,0,1,0,0,1,0
45,2,control,con,15,0,1,0,0,0,0
45,3,control,con,15,0,1,0,0,0,0
45,4,control,con,15,0,1,1,0,0,0
45,5,rvbu,treat,15,0,1,0,0,1,0
45,6,jawe,treat,15,0,1,0,0,0,0
45,7,rwbu,treat,15,0,1,0,0,0,1
45,8,jawe.rble,treat,15,0,1,1,0,0,1
46,1,control,con,15,0,1,1,0,0,0
46,2,control,con,15,0,1,0,1,0,0
46,3,control,con,15,0,1,0,0,0,0
46,4,control,con,15,0,1,0,0,0,0
46,5,rwbu,treat,15,0,1,0,0,0,0
46,6,jawe,treat,15,0,1,1,0,0,0
46,7,rvbu,treat,15,0,1,0,0,0,0
46,8,rble,treat,15,0,1,0,0,0,0
47,1,control,con,15,0,1,0,0,0,0
47,2,control,con,15,0,1,1,0,0,1
47,3,control,con,15,0,1,0,0,0,1
47,4,control,con,15,0,1,0,0,0,0
47,5,rvbu,treat,15,0,1,1,0,0,1
47,6,jawe.rble,treat,15,0,1,1,0,0,0
47,7,rwbu,treat,15,0,1,0,0,0,1
47,8,jawe,treat,15,0,1,1,0,0,0
48,1,control,con,15,0,1,1,1,0,0
48,2,control,con,15,0,1,1,0,0,0
48,3,control,con,15,0,1,0,0,0,0
48,4,control,con,15,0,1,0,0,0,0
48,5,rvbu,treat,15,0,1,1,0,0,0
48,6,jawe,treat,15,0,1,1,0,0,0
48,7,rble,treat,15,0,1,1,1,0,0
48,8,rwbu,treat,15,0,1,1,1,0,0
49,1,control,con,15,0,1,0,0,0,0
49,2,control,con,15,0,1,0,0,0,1
49,3,control,con,15,0,1,0,0,0,0
